la_number,la,urn,school_name,easting,northing,phase
201,City of London,1.00E+05,Sir John Cass's Foundation Primary School,533498,181201,Primary
202,Camden,100008,Argyle Primary School,530238,182761,Primary
202,Camden,100009,Beckford Primary School,524888,185067,Primary
202,Camden,100010,Brecknock Primary School,529912,184835,Primary
202,Camden,100011,Brookfield Primary School,528706,186594,Primary
202,Camden,100012,Carlton Primary School,528386,185209,Primary
202,Camden,100013,Edith Neville Primary School,529725,183195,Primary
202,Camden,100014,Fleet Primary School,527677,185424,Primary
202,Camden,100015,Hawley Infant School,528895,184038,Primary
202,Camden,100018,Netley Primary School,529095,182598,Primary
202,Camden,100019,New End Primary School,526483,185916,Primary
202,Camden,100020,Primrose Hill School,528304,183909,Primary
202,Camden,100021,Rhyl Primary School,528334,184823,Primary
202,Camden,100022,Richard Cobden Primary School,529342,183487,Primary
202,Camden,100023,Torriano Primary School,529559,185072,Primary
202,Camden,100025,Gospel Oak Primary School,528230,185638,Primary
202,Camden,100026,Fitzjohn's Primary School,526566,185411,Primary
202,Camden,100027,Eleanor Palmer Primary School,529117,185613,Primary
202,Camden,100028,"Christ Church Primary School, Hampstead",526518,186095,Primary
202,Camden,100029,Christ Church School,528821,182991,Primary
202,Camden,100030,Emmanuel Church of England Primary School,525336,185264,Primary
202,Camden,100031,Hampstead Parochial Church of England Primary School,526301,185733,Primary
202,Camden,100032,"Holy Trinity CofE Primary School, NW3",526445,184601,Primary
202,Camden,100033,"Holy Trinity and Saint Silas CofE Primary School, NW1",528675,184432,Primary
202,Camden,100034,Kentish Town Church of England Primary School,529113,185066,Primary
202,Camden,100035,Rosary Roman Catholic Primary School,527199,185281,Primary
202,Camden,100036,St Alban's Church of England Primary School,531156,181834,Primary
202,Camden,100037,St Aloysius Roman Catholic Junior School,529505,183062,Primary
202,Camden,100038,St Aloysius Roman Catholic Infant School,529641,182910,Primary
202,Camden,100039,St Dominic's Catholic Primary School,527842,185252,Primary
202,Camden,100040,St George the Martyr Church of England Primary School,530763,182065,Primary
202,Camden,100041,St Josephs Primary School,530415,181368,Primary
202,Camden,100042,St Mary's Kilburn Church of England Primary School,525389,183932,Primary
202,Camden,100043,St Mary and St Pancras Church of England Primary School,529495,183146,Primary
202,Camden,100044,St Michael's Church of England Primary School,529204,183886,Primary
202,Camden,100045,St Patrick's Catholic Primary School,528861,185010,Primary
202,Camden,100046,St Paul's Church of England Primary School,527498,184129,Primary
202,Camden,100047,St Eugene de Mazenod Roman Catholic Primary School,525360,183998,Primary
202,Camden,100048,Our Lady Roman Catholic Primary School,529268,183862,Primary
202,Camden,100049,Haverstock School,528159,184498,Secondary
202,Camden,100050,Parliament Hill School,528369,186019,Secondary
202,Camden,100051,Regent High School,529555,183356,Secondary
202,Camden,100052,Hampstead School,524402,185633,Secondary
202,Camden,100053,Acland Burghley School,528962,185931,Secondary
202,Camden,100054,The Camden School for Girls,529441,184659,Secondary
202,Camden,100055,Maria Fidelis Roman Catholic Convent School FCJ,529666,182953,Secondary
202,Camden,100056,William Ellis School,528267,186049,Secondary
202,Camden,100059,La Sainte Union Catholic Secondary School,528379,186191,Secondary
203,Greenwich,100111,Millennium Primary School,539725,179099,Primary
