urn,apples,la_number,easting,northing
100000,0.429487094,201,533498,181201
100005,0.17686878,202,530464,182403
100006,0.884514241,202,527663,185479
134643,0.94113786,202,528612,184451
136807,0.408538654,202,525270,185912
100008,0.781059186,202,530238,182761
100009,0.004282727,202,524888,185067
100010,0.145782241,202,529912,184835
100011,0.434806697,202,528706,186594
100012,0.482043,202,528386,185209
100013,0.407799769,202,529725,183195
100014,0.468884792,202,527677,185424
100015,0.223142804,202,528895,184038
100019,0.719293276,202,526483,185916
100020,0.925310654,202,528304,183909
100021,0.811163415,202,528334,184823
100022,0.406786062,202,529342,183487
100023,0.676602272,202,529559,185072
100025,0.1348011,202,528230,185638
100026,0.308185983,202,526566,185411
100027,0.066262919,202,529117,185613
130342,0.852051015,202,531069,182107
132245,0.240636096,202,525140,184253
100028,0.894775753,202,526518,186095
100029,0.178662963,202,528821,182991
100030,0.882432581,202,525336,185264
100031,0.095131218,202,526301,185733
100032,0.59440675,202,526445,184601
100033,0.779200854,202,528675,184432
100035,0.43638069,202,527199,185281
100036,0.529061025,202,531156,181834
100037,0.244012154,202,529505,183062
100038,0.902842633,202,529641,182910
100039,0.912705013,202,527842,185252
100041,0.370670883,202,530415,181368
100042,0.279311746,202,525389,183932
100044,0.687221092,202,529204,183886
100045,0.853637683,202,528861,185010
100046,0.79497438,202,527498,184129
100047,0.038410498,202,525360,183998
100048,0.365369098,202,529268,183862
100050,0.875691467,202,528369,186019
100053,0.498934706,202,528962,185931
100054,0.034536448,202,529441,184659
100056,0.925829752,202,528267,186049
100059,0.517013708,202,528379,186191
100091,0.051181393,202,530000,183795
100097,0.642431906,203,537362,177674
100098,0.92296338,203,541837,178429
100099,0.232933967,203,546762,178508
100102,0.983657729,203,539393,178453
100103,0.552943161,203,541731,175472
100111,0.989314775,203,539725,179099
100111,0.853464994,203,539725,179099
100111,0.069392691,203,539725,179099
100111,0.412180822,203,539725,179099
100112,0.001599622,203,545054,174230
100113,0.573507763,203,545529,178546
100114,0.522499826,203,538003,176437
100115,0.756419337,203,541222,177219
100120,0.192414828,203,541517,175119
100125,0.705745966,203,540841,178110
100126,0.68019565,203,545821,178268
100128,0.560259493,203,543070,172575
100129,0.51022122,203,541948,174911
100130,0.249683174,203,540019,178163
100131,0.723299323,203,542011,175689
100132,0.358207604,203,540826,173663
100136,0.475158579,203,541246,176520
100137,0.003780787,203,538861,177987
100140,0.118267478,203,544151,177486
100141,0.559992453,203,540764,177627
100142,0.898315469,203,541865,178397
100145,0.273057202,203,542375,178697
100146,0.885475272,203,543932,173264
100148,0.605212242,203,540311,175836
100148,0.334802577,203,540311,175836
100148,0.734714915,203,540311,175836
100148,0.157647804,203,540311,175836
100150,0.802090705,203,547069,179278
100151,0.518618765,203,545525,177585
100152,0.453694586,203,546656,179560
100155,0.053415046,203,542625,178829
100157,0.530764383,203,546939,180338
100157,0.40098986,203,546939,180338
100157,0.858971876,203,546939,180338
100157,0.671911613,203,546939,180338
100158,0.117025875,203,544682,179291
100159,0.509025567,203,546738,180895
100160,0.81575736,203,543887,178056
100162,0.805624192,203,544981,177699
100164,0.679466825,203,541549,177353
130921,0.857670369,203,541724,173671
130922,0.273166145,203,545264,177428
130922,0.454718204,203,545264,177428
130922,0.795543233,203,545264,177428
130922,0.522327455,203,545264,177428
131183,0.862442844,203,544713,178425
131246,0.031795678,203,538073,177440
131841,0.342632406,203,546803,178377
132837,0.759773673,203,543353,175720
132800,0.72788924,203,545112,178560
132827,0.530125146,203,543464,177512
100165,0.160060126,203,539398,178485
100166,0.333342361,203,543236,176562
100169,0.712043961,203,539329,178289
100170,0.167673815,203,544274,178095
100172,0.379640085,203,543505,174748
100173,0.053106759,203,544893,178594
100174,0.974572175,203,538127,177732
100175,0.262138004,203,543728,178491
100176,0.041095435,203,542156,175625
100177,0.266270742,203,546166,179075
100178,0.330915032,203,541151,175396
100179,0.906433199,203,543633,177821
100180,0.931008661,203,546767,180139
100181,0.02258349,203,547142,180957
137473,0.614170981,203,542034,176480
141163,0.62915354,203,546432,180397
100193,0.556264663,203,538590,177088
100196,0.091902044,203,543353,174161
138966,0.621779975,203,543357,176968
100197,0.2710897,203,546726,180495
100204,0.281070517,203,541778,174205
138547,0.68405167,203,542173,177854
133401,0.36087342,203,544602,178478
100212,0.136647934,204,535916,184524
100213,0.996989702,204,533227,183661
100218,0.160912391,204,535671,184827
100221,0.812965331,204,533631,185118
100223,0.862262927,204,536126,185583
100224,0.549533716,204,533444,184690
100225,0.210467842,204,536980,184834
100229,0.67443938,204,535636,183779
100230,0.948829295,204,534642,183828
100231,0.611482611,204,535218,185910
100232,0.91774793,204,535292,184869
100233,0.529863909,204,534289,186613
100234,0.03243984,204,535394,184242
100235,0.171287776,204,533825,184027
100236,0.594725599,204,533638,183358
100239,0.759030163,204,533380,185516
130302,0.854999175,204,535500,185850
130303,0.308020441,204,534450,184386
100240,0.331797211,204,534243,183445
100241,0.816198586,204,533714,185576
100242,0.795509661,204,535010,186746
100243,0.821228309,204,532494,183307
100244,0.703916821,204,534111,187372
100245,0.527174049,204,532859,183527
100248,0.654242274,204,532393,187810
100250,0.094817051,204,536310,185685
100251,0.0989755,204,533018,187474
100252,0.328367306,204,532960,185754
100253,0.004132026,204,534149,187016
100254,0.654967861,204,534277,185987
100255,0.055544989,204,534738,186059
100256,0.695443919,204,534968,187170
100257,0.726222761,204,533510,187449
100258,0.408838978,204,532963,186776
100259,0.412655544,204,531839,186844
100260,0.815757387,204,534224,186153
100261,0.392894213,204,536002,186066
130932,0.683202092,204,533537,186525
131141,0.869909489,204,533197,183412
131706,0.220387144,204,532879,186072
133669,0.068111184,204,536148,184781
132137,0.65833657,204,535310,185044
100263,0.546187157,204,533693,184406
100264,0.273674524,204,533335,184592
100266,0.609152145,204,532997,183073
100267,0.009200059,204,533258,185524
100268,0.948519429,204,533242,182802
100269,0.954472512,204,534264,183839
100270,0.646511278,204,535320,184155
100271,0.703292781,204,533081,186564
100274,0.799745385,204,534408,186210
100275,0.856991269,204,533974,186970
134639,0.004224709,204,533621,187688
134961,0.768712913,204,534440,185098
121792,0.27273832,204,534184,188188
137442,0.782083449,204,535150,185780
100311,0.733410165,204,533294,185654
133608,0.920805579,204,534805,186280
100315,0.85765733,205,522759,180583
100316,0.291462441,205,522645,179588
100317,0.115354281,205,524114,178545
100318,0.527647641,205,524079,177674
139509,0.77688723,205,523727,176629
139541,0.896153424,205,525887,176415
137331,0.835290162,205,522054,180889
100321,0.547542799,205,523706,179379
139820,0.697056738,205,522938,180698
100322,0.933307562,205,524403,178848
138680,0.915414739,205,522755,181081
100324,0.089710478,205,522760,179365
100326,0.515298864,205,523026,179840
100328,0.588972586,205,522590,178797
100329,0.200797662,205,525224,177604
100330,0.676053637,205,524737,176318
100331,0.744782194,205,522501,182898
