urn,pears,la_number,easting,northing
100000,0.350412031,201,533498,181201
100005,0.947774207,202,530464,182403
100006,0.588119777,202,527663,185479
134643,0.753341753,202,528612,184451
136807,0.222049883,202,525270,185912
100008,0.217651804,202,530238,182761
100009,0.942900237,202,524888,185067
100010,0.147243752,202,529912,184835
100011,0.099094727,202,528706,186594
100012,0.341526412,202,528386,185209
100013,0.882972272,202,529725,183195
100014,0.318253364,202,527677,185424
100015,0.269157598,202,528895,184038
100019,0.828978252,202,526483,185916
100020,0.099156875,202,528304,183909
100021,0.380472818,202,528334,184823
100022,0.542033341,202,529342,183487
100023,0.689021871,202,529559,185072
100025,0.080823163,202,528230,185638
100026,0.965007113,202,526566,185411
100027,0.81536814,202,529117,185613
130342,0.547331359,202,531069,182107
132245,0.905340261,202,525140,184253
100028,0.102592728,202,526518,186095
100029,0.777334512,202,528821,182991
100030,0.45120421,202,525336,185264
100031,0.606960144,202,526301,185733
100032,0.16396325,202,526445,184601
100033,0.902742268,202,528675,184432
100035,0.787157578,202,527199,185281
100036,0.056388476,202,531156,181834
100037,0.923214696,202,529505,183062
100038,0.84266572,202,529641,182910
100039,0.592825737,202,527842,185252
100041,0.356887709,202,530415,181368
100042,0.781422962,202,525389,183932
100044,0.078674631,202,529204,183886
100045,0.635030486,202,528861,185010
100046,0.815656158,202,527498,184129
100047,0.534428967,202,525360,183998
100048,0.250616907,202,529268,183862
100050,0.874977876,202,528369,186019
100053,0.239164122,202,528962,185931
100054,0.609076177,202,529441,184659
100056,0.398404248,202,528267,186049
100059,0.926132885,202,528379,186191
100091,0.093381167,202,530000,183795
100097,0.76508029,203,537362,177674
100098,0.2120003,203,541837,178429
100099,0.651100196,203,546762,178508
100102,0.527739472,203,539393,178453
100103,0.571304226,203,541731,175472
100111,0.520518742,203,539725,179099
100111,0.994103651,203,539725,179099
100111,0.536692261,203,539725,179099
100111,0.19898299,203,539725,179099
100112,0.849770546,203,545054,174230
100113,0.502574114,203,545529,178546
100114,0.915794943,203,538003,176437
100115,0.725179199,203,541222,177219
100120,0.980650424,203,541517,175119
100125,0.136296433,203,540841,178110
100126,0.913538147,203,545821,178268
100128,0.815349017,203,543070,172575
100129,0.000407685,203,541948,174911
100130,0.645330238,203,540019,178163
100131,0.017728122,203,542011,175689
100132,0.968965333,203,540826,173663
100136,0.977526925,203,541246,176520
100137,0.841877633,203,538861,177987
100140,0.132316385,203,544151,177486
100141,0.846215085,203,540764,177627
100142,0.939868734,203,541865,178397
100145,0.751425776,203,542375,178697
100146,0.770999444,203,543932,173264
100148,0.006618175,203,540311,175836
100148,0.801982936,203,540311,175836
100148,0.408617086,203,540311,175836
100148,0.170732344,203,540311,175836
100150,0.281020737,203,547069,179278
100151,0.089246655,203,545525,177585
100152,0.28424421,203,546656,179560
100155,0.153943763,203,542625,178829
100157,0.498051255,203,546939,180338
100157,0.152039999,203,546939,180338
100157,0.857150602,203,546939,180338
100157,0.674876777,203,546939,180338
100158,0.91424604,203,544682,179291
100159,0.853601038,203,546738,180895
100160,0.803601798,203,543887,178056
100162,0.735143989,203,544981,177699
100164,0.367323731,203,541549,177353
130921,0.655468773,203,541724,173671
130922,0.1692989,203,545264,177428
130922,0.389166272,203,545264,177428
130922,0.544275131,203,545264,177428
130922,0.29000855,203,545264,177428
131183,0.643625002,203,544713,178425
131246,0.401648801,203,538073,177440
131841,0.534357378,203,546803,178377
132837,0.526218148,203,543353,175720
132800,0.401343986,203,545112,178560
132827,0.96835933,203,543464,177512
100165,0.178607249,203,539398,178485
100166,0.636068584,203,543236,176562
100169,0.687525012,203,539329,178289
100170,0.396434922,203,544274,178095
100172,0.416850382,203,543505,174748
100173,0.221893756,203,544893,178594
100174,0.264472664,203,538127,177732
100175,0.04466401,203,543728,178491
100176,0.722029031,203,542156,175625
100177,0.135701093,203,546166,179075
100178,0.632578896,203,541151,175396
100179,0.714951402,203,543633,177821
100180,0.016543848,203,546767,180139
100181,0.402738456,203,547142,180957
137473,0.952447234,203,542034,176480
141163,0.183162468,203,546432,180397
100193,0.128221727,203,538590,177088
100196,0.552956731,203,543353,174161
138966,0.798962276,203,543357,176968
100197,0.047475395,203,546726,180495
100204,0.925173632,203,541778,174205
138547,0.319891008,203,542173,177854
133401,0.295063783,203,544602,178478
100212,0.298087328,204,535916,184524
100213,0.624470678,204,533227,183661
100218,0.346385762,204,535671,184827
100221,0.213046204,204,533631,185118
100223,0.047653623,204,536126,185583
100224,0.641572685,204,533444,184690
100225,0.328946522,204,536980,184834
100229,0.461743858,204,535636,183779
100230,0.454237818,204,534642,183828
100231,0.731743818,204,535218,185910
100232,0.62832573,204,535292,184869
100233,0.734158599,204,534289,186613
100234,0.141203738,204,535394,184242
100235,0.869358043,204,533825,184027
100236,0.645955151,204,533638,183358
100239,0.286380821,204,533380,185516
130302,0.835895884,204,535500,185850
130303,0.543277224,204,534450,184386
100240,0.646354944,204,534243,183445
100241,0.942100521,204,533714,185576
100242,0.460220223,204,535010,186746
100243,0.357495017,204,532494,183307
100244,0.441505459,204,534111,187372
100245,0.330388418,204,532859,183527
100248,0.753804386,204,532393,187810
100250,0.293966465,204,536310,185685
100251,0.160293201,204,533018,187474
100252,0.310867409,204,532960,185754
100253,0.197674953,204,534149,187016
100254,0.32676963,204,534277,185987
100255,0.021176466,204,534738,186059
100256,0.586086175,204,534968,187170
100257,0.808255412,204,533510,187449
100258,0.472947383,204,532963,186776
100259,0.239996727,204,531839,186844
100260,0.955252398,204,534224,186153
100261,0.280218497,204,536002,186066
130932,0.20857126,204,533537,186525
131141,0.682016811,204,533197,183412
131706,0.384955252,204,532879,186072
133669,0.772720982,204,536148,184781
132137,0.52019477,204,535310,185044
100263,0.2572544,204,533693,184406
100264,0.501534372,204,533335,184592
100266,0.258287362,204,532997,183073
100267,0.457202322,204,533258,185524
100268,0.78574795,204,533242,182802
100269,0.96610045,204,534264,183839
100270,0.281793401,204,535320,184155
100271,0.201054759,204,533081,186564
100274,0.629458439,204,534408,186210
100275,0.860920211,204,533974,186970
134639,0.86362299,204,533621,187688
134961,0.160879368,204,534440,185098
121792,0.133515589,204,534184,188188
137442,0.431187588,204,535150,185780
100311,0.965218862,204,533294,185654
133608,0.809760924,204,534805,186280
100315,0.42374659,205,522759,180583
100316,0.56741272,205,522645,179588
100317,0.891007224,205,524114,178545
100318,0.226104139,205,524079,177674
139509,0.118534011,205,523727,176629
139541,0.801088919,205,525887,176415
137331,0.527720671,205,522054,180889
100321,0.207586327,205,523706,179379
139820,0.636771131,205,522938,180698
100322,0.539065214,205,524403,178848
138680,0.27883781,205,522755,181081
100324,0.332173049,205,522760,179365
100326,0.893013972,205,523026,179840
100328,0.23728956,205,522590,178797
100329,0.530984368,205,525224,177604
100330,0.653131924,205,524737,176318
100331,0.594309162,205,522501,182898
140634,0.554688055,205,523316,179271
100334,0.323910076,205,523607,177859
100335,0.318199758,205,521948,181361
100337,0.831297125,205,523582,177153
100338,0.655102955,205,524416,177532
100339,0.584095386,205,525155,176169
100340,0.634516165,205,521631,179719
100341,0.446037618,205,522318,180664
100343,0.629701317,205,522430,179776
100344,0.736653613,205,524167,176390
100345,0.758408033,205,525175,176754
100346,0.654460786,205,522568,179018
100347,0.11547594,205,524414,177667
100349,0.501661948,205,524468,176864
100350,0.442487643,205,523932,179282
100351,0.021952394,205,523176,178344
100352,0.390695374,205,522274,178492
100353,0.904745689,205,523106,180001
100354,0.293787328,205,521890,179649
100355,0.292897494,205,522736,180735
100357,0.345268356,205,524581,177345
134273,0.867106673,205,524788,177797
136750,0.670846915,205,522432,178536
139364,0.094402827,205,524042,176935
100359,0.417157897,205,522377,180823
139365,0.074600032,205,524106,177335
133545,0.577711355,205,523862,178222
137935,0.471567431,205,523435,178678
138607,0.87414878,205,525134,176562
137157,0.288311872,205,525516,177432
100379,0.152174498,205,522820,181248
100384,0.281125543,206,529985,187573
100385,0.953290253,206,530441,183608
100386,0.799727579,206,530859,186986
100397,0.855777767,206,531678,186560
100401,0.958711425,206,530584,183537
100402,0.730403727,206,531433,185329
100403,0.920476527,206,530146,187006
100405,0.811887539,206,531802,186280
100406,0.868778151,206,530483,186145
100407,0.420611915,206,531982,183273
100408,0.04005793,206,529016,186684
100411,0.29678195,206,531535,184551
100415,0.97831328,206,531942,182766
100418,0.957181364,206,530838,186121
100422,0.601699226,206,530342,184544
100425,0.807441397,206,531173,184131
100426,0.827263405,206,530952,183516
137566,0.704928646,206,531770,184284
100428,0.449165325,206,530634,183172
100429,0.706988051,206,529695,186359
100431,0.370390991,206,532387,185620
100435,0.8173086,206,529995,184974
131218,0.274648264,206,530782,186383
131325,0.796723318,206,532981,185349
131773,0.543984682,206,531811,184603
131842,0.66971474,206,531473,182684
131741,0.667276959,206,530937,186804
131740,0.228467269,206,532543,183917
100436,0.658877864,206,531189,182756
100437,0.299378919,206,530896,185179
100438,0.175618205,206,531600,183377
100439,0.946227033,206,529508,186512
100440,0.390115772,206,531758,186077
100441,0.833693931,206,528892,187162
100443,0.308185301,206,532463,182576
100444,0.762174607,206,530342,186726
100446,0.21411296,206,531845,184012
100447,0.266498149,206,531847,182367
100448,0.063697452,206,530855,183827
100449,0.505292038,206,532024,185906
100450,0.142029221,206,530746,186961
100451,0.855538627,206,530554,183629
137393,0.36023212,206,532215,184031
100458,0.137092476,206,532888,182441
100472,0.139444874,207,524508,181712
100473,0.236221969,207,523612,180946
100474,0.452773851,207,527203,177835
100475,0.713673327,207,524578,181680
140807,0.504427753,207,523612,180946
100477,0.627606288,207,526554,177396
100478,0.702903757,207,523831,181997
100479,0.46360381,207,524414,181794
100480,0.218895397,207,526029,178368
100481,0.829066992,207,524779,181067
100482,0.969209403,207,525233,180251
100485,0.767636121,207,523676,181272
100486,0.253113305,207,526612,177707
100487,0.368236539,207,524052,180593
100488,0.413078751,207,524214,181162
100490,0.144988683,207,528059,178778
100491,0.190772272,207,527141,178427
100492,0.150322628,207,524351,182075
100493,0.638099278,207,525153,179172
100494,0.35834034,207,523827,180762
